nconst,primaryName,birthYear,deathYear,profession,tconst
nm0116972,Kurt Bryant,\N,\N,actor,tt9114286
nm0116973,Lee Bryan,\N,\N,actor,tt0800080
nm0117709,Daniel Brühl,1978,\N,actor,tt3498820
nm0117755,Shutchai Tym Buacharern,\N,\N,actor,tt1825683
nm0117827,Dirk Bublies,\N,\N,actor,tt0458339
nm0117851,Joe Bucaro III,\N,\N,actor,tt0371746
nm0117926,Achim Buch,1963,\N,actor,tt9376612
nm0117926,Achim Buch,1963,\N,actor,tt10872600
nm0117926,Achim Buch,1963,\N,actor,tt4154796
nm0117926,Achim Buch,1963,\N,actor,tt1211837
nm0118108,Silvina Buchbauer,1972,\N,actress,tt3498820
nm0118150,Richard Bucher,\N,\N,actor,tt0371746
nm0118181,Karin Buchholz,1945,\N,actress,tt1843866
nm0118181,Karin Buchholz,1945,\N,actress,tt0848228
nm0118495,Lindsey Buckingham,1949,\N,actor,tt3896198
nm0118575,Brad Buckley,\N,\N,actor,tt10648342
nm0118575,Brad Buckley,\N,\N,actor,tt9376612
nm0119585,Gavin Buhr,\N,\N,actor,tt0800080
nm0121526,Susan A. Burig,\N,\N,actress,tt4154796
nm0121526,Susan A. Burig,\N,\N,actress,tt4154756
nm0121526,Susan A. Burig,\N,\N,actress,tt3896198
nm0121526,Susan A. Burig,\N,\N,actress,tt1843866
nm0121720,Jason Burke,\N,\N,actor,tt0800080
nm0121838,Renee Burke,\N,\N,actress,tt2250912
nm0121861,Brandon Burke,\N,\N,actor,tt10676052
nm0121914,Briana Burke,\N,\N,actor,tt6320628
nm0123092,Ty Burrell,1967,\N,actor,tt0800080
nm0123362,Anna Burstall,\N,\N,actress,tt9376612
nm0123362,Anna Burstall,\N,\N,actress,tt10648342
nm0123362,Anna Burstall,\N,\N,actress,tt3501632
nm0123553,Corey Burton,1955,\N,actor,tt10676052
nm0123592,Hal Burton,1942,\N,actor,tt0371746
nm0123593,Harry Burton,1962,\N,actor,tt13157618
nm0127136,Konrad Bösherz,1983,\N,actor,tt9032400
nm0127680,Christina Cabot,1969,\N,actress,tt0800080
nm0127755,Sérgio Cabral,1937,2024,actor,tt2250912
nm0128428,Charlotte Caffey,1953,\N,actress,tt6320628
nm0129787,Shane Cardwell,\N,\N,actor,tt3498820
nm0130983,Rafael Calvo,\N,\N,actor,tt10872600
nm0130983,Rafael Calvo,\N,\N,actor,tt4154796
nm0131916,Thom Cammer,\N,\N,actor,tt1228705
nm0132063,Jim Capaldi,1944,2005,actor,tt4154796
nm0132063,Jim Capaldi,1944,2005,actor,tt2250912
